NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
292,E2920700008111,北宇智公民館,奈良県五條市近内町735,1,,,34.38295853479,135.70576400065,
293,E2920700009111,北宇智体育館,奈良県五條市近内町779,1,,,34.38244064267,135.70773237281,
294,E2920700010111,旧阿太小学校,奈良県五條市原町225,1,,,34.363077751317,135.74666071564,
295,E2920700013111,人権総合センター,奈良県五條市五條4-1-3,1,,,34.3513669991,135.701662,
296,E2920700014111,五條東体育館,奈良県五條市五條4-2-6,1,,,34.351876281845,135.70311319236,
297,E2920700015111,今井コミュニティセンター,奈良県五條市今井3-3-20,1,,,34.356941768,135.706372426,
298,E2920700016111,宇智公民館,奈良県五條市今井3-3-48,1,,,34.358209017622,135.7052876817,
299,E2920700017111,五條東中学校,奈良県五條市今井5-7-12,1,,,34.357840856857,135.71074062475,
300,E2920700019111,五條東小学校,奈良県五條市今井町1153,1,,,34.361596963497,135.70960497714,
301,E2920700021111,阿田峯公園,奈良県五條市三在町1680,1,,,34.381694235836,135.72933928441,
302,E2920700022111,阿太ミニ体育館,奈良県五條市山田町2,1,,,34.368175,135.74858,
303,E2920700023111,上野公園総合体育館（シダーアリーナ）,奈良県五條市上野町246,1,,,34.335876670375,135.67177206875,
304,E2920700024111,新町公民館,奈良県五條市新町1-7-10,,,,34.34902,135.691166,
305,E2920700026111,須恵公民館,奈良県五條市須恵3-4-44,1,,,34.353683763357,135.69866010583,
306,E2920700027111,西吉野農業高等学校,奈良県五條市西吉野町江出174-1,1,,,34.305081,135.724148,
307,E2920700029111,旧西吉野小学校,奈良県五條市西吉野町宗川野77-1,1,,,34.2637562156,135.748610986,
308,E2920700030111,宗桧公民館,奈良県五條市西吉野町宗川野97,,,,34.262306800759,135.74867687306,
309,E2920700033111,西吉野コミュニティセンター,奈良県五條市西吉野町八ツ川451,1,,,34.303787,135.764851,
310,E2920700034111,平沼田老人憩の家,奈良県五條市西吉野町平沼田1466,,,,34.323365,135.754848,
311,E2920700035111,旧白銀北中学校,奈良県五條市西吉野町平沼田1687,1,,,34.326477580597,135.7464528979,
312,E2920700036111,賀名生体育館,奈良県五條市西吉野町和田77-1,1,,,34.296021840823,135.72217058006,
313,E2920700037111,大塔ライフハウス,奈良県五條市大塔町宇井183,1,,,34.156789,135.746748,
314,E2920700038111,ロッジ星のくに,奈良県五條市大塔町阪本249,1,,,34.2123707368,135.73171877,
315,E2920700040111,五條西中学校,奈良県五條市大澤町374,1,,,34.363925,135.666371,
316,E2920700042111,南阿太公民館,奈良県五條市滝町504,1,,,34.35785386806,135.75148067876,
317,E2920700043111,阪合部公民館,奈良県五條市中町31,1,,,34.335053743695,135.67917947696,
318,E2920700044111,牧野公民館,奈良県五條市中之町1764-1,,,,34.362288967774,135.67980902809,
319,E2920700045111,牧野体育館,奈良県五條市中之町595,,,,34.362374721831,135.67530698411,
320,E2920700046111,牧野小学校,奈良県五條市中之町921,1,,,34.366444411703,135.67761533759,
321,E2920700047111,田園体育館兼集会所,奈良県五條市田園2-18-2,1,,,34.369848442149,135.68285924594,
322,E2920700049111,田園公民館,奈良県五條市田園4-14-3,1,,,34.368630663365,135.68843477948,
323,E2920700050111,田殿集会所,奈良県五條市田殿町245,1,,,34.307939669893,135.67062364776,
324,E2920700051111,二見公民館,奈良県五條市二見2-5-1,1,,,34.344198,135.685858,
325,E2920700054111,二見文化体育センター,奈良県五條市二見7-6-50,1,,,34.343845,135.67787,
326,E2920700055111,五條小学校,奈良県五條市本町1-1-4,1,,,34.351617360887,135.69251435754,
327,E2920700056111,中央公民館,奈良県五條市本町3-1-13,1,,,34.353891759393,135.69203105834,
328,E2920700058111,野原公民館,奈良県五條市野原西3-4-3,1,,,34.345115,135.702751,
329,E2920700059111,保健福祉センター（カルム五條）（指定福祉避難所を除く）,奈良県五條市野原西6-1-18,,,,34.342290057509,135.69712280632,
330,E2920700059121,保健福祉センター（カルム五條）　（交流コーナー、図書室、待合スペース、カウンセリング室、健康相談室、生活指導室）,奈良県五條市野原西6-1-18,,,乳幼児、妊婦およびその家族,34.342290057509,135.69712280632,
331,E2920700060111,五條南小学校,奈良県五條市野原中3-5-43,1,,,34.340476531779,135.70188533995,
332,E2920700061111,旧野原小学校,奈良県五條市野原中3-8-38,1,,,34.338767191756,135.70160609661,
333,E2920700062111,智辯学園,奈良県五條市野原中4-1-51,1,,,34.342604217338,135.70546147403,
334,E2920700064111,野原東住民センター,奈良県五條市野原東2-7-26,1,,,34.349386899348,135.71631104384,
335,E2920700065111,南宇智公民館,奈良県五條市霊安寺町2016-3,1,,,34.335374795374,135.7012151234,
336,E2920800003111,御所幼児園,奈良県御所市1-9,,,,34.464201692534,135.73926178378,
337,E2920800002111,アザレアホール,奈良県御所市13,,,,34.463918629337,135.73993770046,
338,E2920800004111,青翔高等学校,奈良県御所市525,1,,,34.458916213573,135.73291031284,
339,E2920800005111,御所小学校,奈良県御所市610,1,,,34.464046892466,135.74123588961,
340,E2920800006111,御所中学校,奈良県御所市665-1,1,,,34.465895628785,135.74188498419,
341,E2920800007111,いきいきライフセンター,奈良県御所市774-1,,,,34.460804870837,135.73931542796,
342,E2920800008111,防災センター,奈良県御所市鴨神791,1,,,34.403536459036,135.70777979481,
343,E2920800009111,御所実業高等学校,奈良県御所市玉手300,1,,,34.454811001872,135.7463618336,
344,E2920800010111,老人福祉センター,奈良県御所市櫛羅1281,,,,34.461008829508,135.70853509518,
345,E2920800012111,大正小学校,奈良県御所市櫛羅2198-1,1,,,34.461407452526,135.72421066625,
346,E2920800013111,（旧）栗阪児童館,奈良県御所市栗阪215,,,,34.425825277859,135.72506792,
347,E2920800014111,クリーンセンター,奈良県御所市栗阪293,,,,34.428963641391,135.72799718481,
348,E2920800015111,産業振興センター,奈良県御所市元町1-1,,,,34.471279133124,135.72504635154,
349,E2920800016111,中央公民館,奈良県御所市元町382-1,,,,34.469353206822,135.73008001954,
350,E2920800038111,介護予防センター,奈良県御所市戸毛1032-1,,,,34.429798508636,135.75898870206,
351,E2920800019111,西戸毛集会所,奈良県御所市戸毛909-3,,,,34.434035325897,135.75979215584,
352,E2920800020111,葛公民館,奈良県御所市戸毛979-1,1,,,34.431848606048,135.75916519603,
353,E2920800021111,葛城保育所,奈良県御所市五百家75,,,,34.417232743656,135.71718242642,
354,E2920800022111,御所スポーツクラブ,奈良県御所市幸町189-3,,,,34.449741770416,135.72582885658,
355,E2920800023111,葛上中学校,奈良県御所市佐田1-1,1,,,34.433830888238,135.7151549555,
356,E2920800037111,防災交流館,奈良県御所市三室111-1,,,,34.458544,135.72992,
357,E2920800024111,大正中学校,奈良県御所市三室206-1,1,,,34.461833094597,135.72767399914,
358,E2920800025111,秋津幼児園,奈良県御所市室484-1,,,,34.44810868939,135.73845817819,
359,E2920800026111,室改良住宅集会所,奈良県御所市室55-16,,,,34.441564354133,135.72965204484,
360,E2920800027111,文化交流センター,奈良県御所市小林330,,,,34.467298682616,135.7156845134,
361,E2920800028111,地域交流センター,奈良県御所市小林365-1,,,,34.466780160629,135.71404715765,
362,E2920800030111,秋津小学校,奈良県御所市池之内459-3,1,,,34.448883598973,135.73827975379,
363,E2920800032111,掖上小学校,奈良県御所市東寺田55,1,,,34.460563228728,135.7570723393,
364,E2920800033111,人権センター,奈良県御所市柏原235,,,,34.46036521232,135.76092689448,
365,E2920800034111,葛小学校葛中学校,奈良県御所市樋野270,1,,,34.422092341752,135.75373809386,
366,E2920800035111,名柄小学校,奈良県御所市名柄185,1,,,34.441110999954,135.71518909559,
367,E2920800036111,葛城小学校,奈良県御所市林329,1,,,34.419475353316,135.71806237625,
368,E2942600012121,総合保健福祉会館,奈良県広陵町大字笠161-2,1,,要配慮者,34.542767528319,135.74472566628,
369,E2942600012111,総合保健福祉会館,奈良県広陵町大字笠161-2,1,,,34.542857553814,135.74480933347,
370,E2942600013111,グリーンパレス,奈良県広陵町大字笠168,1,,,34.542796013859,135.74520880518,
371,E2942600013121,グリーンパレス,奈良県広陵町大字笠168,1,,要配慮者,34.54279841776,135.74525197101,
372,E2942600014111,広陵中央体育館,奈良県広陵町大字笠350-1,1,,,34.54975,135.748241,
373,E2942600015111,広陵中学校,奈良県広陵町大字笠355,1,,,34.551453348018,135.74811910107,
374,E2942600015121,広陵中学校,奈良県広陵町大字笠355,1,,要配慮者,34.551816660839,135.74809476419,
375,E2942600016111,広陵中央公民館,奈良県広陵町大字笠382-1,1,,,34.548713502392,135.74827547309,
376,E2942600017111,図書館,奈良県広陵町大字三吉396-1,1,,,34.553173854655,135.73586671726,
377,E2942600018111,広陵北体育館,奈良県広陵町大字大野546-1,,,,34.567572129344,135.74717046954,
378,E2942600019111,大和広陵高等学校,奈良県広陵町大字的場401,,,,34.567803519145,135.75903346511,
379,E2942600020111,広陵東小学校,奈良県広陵町大字百済1625-1,,,,34.546051733528,135.75717751974,
380,E2942600020121,広陵東小学校,奈良県広陵町大字百済1625-1,,,要配慮者,34.54625170557,135.75715774107,
381,E2942600021111,広陵東体育館,奈良県広陵町大字百済1801-1,,,,34.546721988994,135.75993191008,
382,E2942600022111,広陵西小学校,奈良県広陵町大字平尾542,,,,34.541241758089,135.73601439157,
383,E2942600022121,広陵西小学校,奈良県広陵町大字平尾542,,,要配慮者,34.541345975876,135.73571540673,
384,E2942600023111,はしお元気村,奈良県広陵町大字弁財天295-3,,,,34.563065045292,135.74945995744,
385,E2942600024121,広陵北小学校,奈良県広陵町大字弁財天303,,,要配慮者,34.563744579253,135.74946496528,
386,E2942600024111,広陵北小学校,奈良県広陵町大字弁財天303,,,,34.563768621588,135.74918715329,
387,E2942600029121,真美ケ丘中学校,奈良県広陵町馬見中2-17-32,1,,要配慮者,34.54931568797,135.72759487718,
388,E2942600029111,真美ケ丘中学校,奈良県広陵町馬見中2-17-32,1,,,34.548946509311,135.72743666092,
389,E2942600033111,真美ケ丘第一小学校,奈良県広陵町馬見南2-1-30,1,,,34.53967136814,135.73212648868,
390,E2942600033121,真美ケ丘第一小学校,奈良県広陵町馬見南2-1-30,1,,要配慮者,34.539671264837,135.73185076506,
391,E2942600035111,広陵西体育館,奈良県広陵町馬見南3-9-15,1,,,34.533450360322,135.73034232455,
392,E2942600041111,真美ケ丘体育館,奈良県広陵町馬見北5-13-18,1,,,34.553818892676,135.72647422564,
393,E2942600044111,真美ケ丘第二小学校,奈良県広陵町馬見北7-1-32,1,,,34.551480921144,135.72372021794,
394,E2942600044121,真美ケ丘第二小学校,奈良県広陵町馬見北7-1-32,1,,要配慮者,34.551757262851,135.72356943187,
395,E2921000001111,香芝市総合福祉センター,奈良県香芝市逢坂1-374-1,1,,,34.54247379,135.6953102,
396,E2921000001121,香芝市総合福祉センター,奈良県香芝市逢坂1-374-1,1,,要配慮者,34.542538965875,135.69508489444,
397,E2921000003111,香芝市立旭ケ丘小学校,奈良県香芝市旭ケ丘3-1-3,1,,,34.555830942841,135.69499380212,
398,E2921000004111,香芝市立香芝北中学校,奈良県香芝市旭ケ丘4-14,1,,,34.554242868437,135.69108878811,
399,E2921000005121,ボノボ,奈良県香芝市磯壁1-1057-3,,,要配慮者,34.538989251654,135.69960189177,
400,E2921000006111,香芝市立香芝中学校,奈良県香芝市磯壁1-1058-2,1,,,34.53899166,135.6987475,
401,E2921000007121,特別養護老人ホーム　ぬくもり香芝,奈良県香芝市下田西2-7-61,,,要配慮者,34.544241577822,135.70330348054,
402,E2921000008111,香芝市立下田小学校,奈良県香芝市下田西2-9-41,1,,,34.5455222,135.7005571,
403,E2921000011121,香芝市中央公民館,奈良県香芝市下田西3-7-5,1,,要配慮者,34.539903679824,135.70018352656,
404,E2921000011111,香芝市中央公民館,奈良県香芝市下田西3-7-5,1,,,34.539871,135.700213,
405,E2921000012121,特別養護老人ホーム　すばる,奈良県香芝市鎌田157-1,,,要配慮者,34.52186737289,135.71257146599,
406,E2921000013111,香芝市立鎌田小学校,奈良県香芝市鎌田370,1,,,34.52490874,135.7064485,
407,E2921000014121,和里（にこり）香芝,奈良県香芝市鎌田594,,,要配慮者,34.524588278811,135.71643834672,
408,E2921000015111,金光藤蔭高等学校　香芝キャンパス,奈良県香芝市関屋北1-1331-1,1,,,34.558719081484,135.6769360249,
409,E2921000016111,香芝市立関屋小学校,奈良県香芝市関屋北5-7-1,1,,,34.5607632,135.6678184,
410,E2921000019111,香芝市立香芝西中学校,奈良県香芝市穴虫3096-2,1,,,34.54905347,135.673551,
411,E2921000020121,介護老人保健施設　オークピア鹿芝,奈良県香芝市穴虫885-1,,,要配慮者,34.549814192671,135.6869255543,
412,E2921000021111,香芝市立五位堂小学校,奈良県香芝市五位堂2-300-1,1,,,34.53220295,135.7150677,
413,E2921000023111,香芝市立志都美小学校,奈良県香芝市今泉104-1,1,,,34.56761323,135.6999063,
414,E2921000024121,障害者支援施設　どんぐり,奈良県香芝市上中1263-26,,,要配慮者,34.55640196845,135.68016106179,
415,E2921000025121,どんぐり学園,奈良県香芝市上中1263-32,,,要配慮者,34.556775416624,135.67959472867,
416,E2921000027111,香芝市立香芝東中学校,奈良県香芝市真美ケ丘2-12-27,1,,,34.53939618,135.7200283,
417,E2921000029111,香芝市立真美ヶ丘東小学校,奈良県香芝市真美ケ丘3-2-70,1,,,34.53956378,135.7233398,
418,E2921000033111,奈良県立香芝高等学校,奈良県香芝市真美ケ丘5-1-53,1,,,34.54525727,135.7194472,
419,E2921000035111,香芝市立真美ヶ丘西小学校,奈良県香芝市真美ケ丘5-4-20,1,,,34.54632771,135.7196215,
420,E2921000038111,智辯学園奈良カレッジ,奈良県香芝市田尻265,1,,,34.55102892,135.659987,
421,E2921000039121,障害者支援施設　ゆらくの里,奈良県香芝市尼寺616,,,要配慮者,34.574599147957,135.68446700501,
422,E2921000040111,香芝市地域交流センター,奈良県香芝市白鳳台1-14-1,1,,,34.569452260646,135.69595633603,
423,E2921000041111,香芝市立二上小学校,奈良県香芝市畑4-573,1,,,34.54007588,135.6878151,
424,E2921000042121,介護老人保健施設　てんとう虫,奈良県香芝市平野23-1,,,要配慮者,34.566184745123,135.69610041688,
425,E2921000043111,香芝市総合体育館,奈良県香芝市本町1437,1,,,34.540276,135.699718,
426,E2921000044111,香芝市立三和小学校,奈良県香芝市良福寺665-2,1,,,34.53031743,135.7052232,
427,E2940100009111,奈良県立高取国際高等学校,奈良県高取町大字佐田455-2,1,,,34.457571977861,135.79234326497,
428,E2940100016111,高取中学校,奈良県高取町大字森30,1,,,34.450587729917,135.78972503236,
429,E2940100030111,たかとり幼稚園,奈良県高取町大字清水谷111-3,1,,,34.442612,135.795736,
430,E2940100019111,たかむち小学校,奈良県高取町大字清水谷205,1,,,34.442926833413,135.7964338786,
431,E2940100031111,地域交流スペースいくせい,奈良県高取町大字兵庫202,1,,,34.447102,135.776382,
432,E2944400001111,黒滝森物語村,奈良県黒滝村大字粟飯谷1,,,,34.311993,135.827469,
433,E2944400002111,粟飯谷地区集会所,奈良県黒滝村大字粟飯谷224,,,,34.324754,135.837937,
434,E2944400021111,祐光寺,奈良県黒滝村大字笠木660,,,,34.28354,135.829152,
435,E2944400004111,笠木・桂原・長瀬地区集会所,奈良県黒滝村大字桂原118-1,,,,34.297981,135.826144,
436,E2944400005111,御吉野・長瀬地区老人憩の家,奈良県黒滝村大字御吉野139,,,,34.31024,135.83333,
437,E2944400006121,黒滝村デイサービスセンター,奈良県黒滝村大字寺戸187-2,,,要配慮者等,34.310815,135.850122,
438,E2944400007111,寺戸地区老人憩の家,奈良県黒滝村大字寺戸306,,,,34.30896,135.848482,
439,E2944400008111,黒滝小学校・中学校,奈良県黒滝村大字寺戸41,1,,,34.310644,135.852432,
440,E2944400009121,黒滝こども園,奈良県黒滝村大字寺戸421,,,要配慮者等,34.308943,135.842877,
441,E2944400010111,黒滝村農林トレーニングセンター,奈良県黒滝村大字寺戸47-1,1,,,34.310633,135.851932,
442,E2944400011111,赤滝・上平地区集会施設,奈良県黒滝村大字赤滝83-1,,,,34.302930898658,135.88325969334,
443,E2944400012111,上中戸地区老人憩の家,奈良県黒滝村大字中戸1058-2,,,,34.30571,135.863532,
444,E2944400013111,中戸自治会館,奈良県黒滝村大字中戸1460,,,,34.306429460994,135.85821951289,
445,E2944400014111,川戸地区老人憩の家,奈良県黒滝村大字中戸390,,,,34.307315531402,135.85441906982,
446,E2944400015111,光徳寺,奈良県黒滝村大字中戸778,,,,34.304016,135.871768,
447,E2944400016111,長瀬地区集会所,奈良県黒滝村大字長瀬83-1,1,,,34.307438,135.823239,
448,E2944400017111,鳥住地区集会所,奈良県黒滝村大字鳥住236,,,,34.330744,135.860722,
449,E2944400018111,堂原地区老人憩の家,奈良県黒滝村大字堂原381,,,,34.307212,135.836446,
450,E2944400019111,槙尾地域防災拠点施設,奈良県黒滝村大字槙尾103,,,,34.326907328181,135.87465999349,
451,E2944400020111,脇川地区集会所,奈良県黒滝村大字脇川335,,,,34.314899290865,135.85782776551,
452,E2920600002111,中央公民館,奈良県桜井市粟殿202,1,,,34.517484,135.842959,
453,E2920600005111,さくら幼稚園,奈良県桜井市粟殿480-1,,,,34.519857,135.844756,
454,E2920600004111,桜井木材協同組合,奈良県桜井市粟殿３５０外,,,,34.517966743452,135.8519940994,
455,E2920600007111,図書館,奈良県桜井市河西31,1,,,34.506206,135.85177,
456,E2920600008111,奈良県立商業高等学校,奈良県桜井市河西770,,,,34.501041,135.847057,
457,E2920600009111,戒重集会所,奈良県桜井市戒重209-34,,,,34.512479,135.83843,
458,E2920600010111,戒重区会所,奈良県桜井市戒重45,,,,34.511407,135.837354,
459,E2920600011111,城島小学校,奈良県桜井市外山330,1,,,34.515533,135.85749,
460,E2920600012111,上之郷体育館,奈良県桜井市笠82,1,,,34.568001,135.908704,
461,E2920600013111,吉隠公民館,奈良県桜井市吉隠726,1,,,34.532447,135.933726,
462,E2920600014111,桜井西ふれあいセンター,奈良県桜井市吉備646-16,1,,,34.5091,135.828989,
463,E2920600015111,第１保育所,奈良県桜井市吉備648-1,1,,,34.509233,135.829424,
464,E2920600016111,朝倉小学校,奈良県桜井市黒崎626,1,,,34.522391,135.876454,
465,E2920600017111,まほろばセンター,奈良県桜井市桜井1259,1,,,34.51264,135.845869,
466,E2920600020111,桜井高校,奈良県桜井市桜井95,,,,34.514834,135.852945,
467,E2920600021111,三輪小学校,奈良県桜井市三輪324,1,,,34.525596,135.849951,
468,E2920600022111,大神神社大礼記念館新館,奈良県桜井市三輪330,,,,34.528066,135.851564,
469,E2920600023111,総合体育館,奈良県桜井市三輪686,1,,,34.529209,135.840873,
470,E2920600025111,慈恩寺集会所,奈良県桜井市慈恩寺398,,,,34.520013,135.867162,
471,E2920600026111,織田小学校,奈良県桜井市芝1177,1,,,34.53587,135.843678,
472,E2920600027111,大三輪中学校,奈良県桜井市芝1401,1,,,34.531860666595,135.84236772751,
473,E2920600029111,桜井市民体育館,奈良県桜井市芝54-1,1,,,34.529784,135.841196,
474,E2920600030111,初瀬小学校,奈良県桜井市初瀬1556,1,,,34.527482,135.899115,
475,E2920600031111,初瀬観光センター,奈良県桜井市初瀬1593-2,1,,,34.527321,135.901377,
476,E2920600032111,桜井東ふれあいセンター分館,奈良県桜井市初瀬1626-1,1,,,34.526218,135.898777,
477,E2920600033111,桜井東中学校,奈良県桜井市初瀬1655,1,,,34.525459,135.897192,
478,E2920600034111,桜井東ふれあいセンター,奈良県桜井市初瀬2337,1,,,34.526845,135.905249,
479,E2920600035111,長谷寺昭和寮,奈良県桜井市初瀬731-1,,,,34.534506,135.907238,
480,E2920600035112,普門院,奈良県桜井市初瀬731-1,,,,34.534473,135.908267,
481,E2920600036111,上之郷公民館,奈良県桜井市小夫3266,1,,,34.57252,135.915575,
482,E2920600038111,桜井西小学校,奈良県桜井市上之庄594-1,1,,,34.518722,135.838831,
483,E2920600039111,安倍小学校,奈良県桜井市生田578,1,,,34.495706,135.838596,
484,E2920600040111,桜井西ふれあいセンター分館,奈良県桜井市西之宮211-1,1,,,34.513189,135.826218,
485,E2920600041111,赤尾地区コミュニティ集会所,奈良県桜井市赤尾329-1,,,,34.509798,135.867891,
486,E2920600042111,川合区集会所,奈良県桜井市川合253-11,,,,34.513967,135.843891,
487,E2920600043111,天理教明和大教会,奈良県桜井市川合254-1,1,,,34.513858,135.845275,
488,E2920600044111,桜井南小学校,奈良県桜井市浅古21,1,,,34.502993,135.851867,
489,E2920600045111,桜井市グリーンパーク,奈良県桜井市浅古485-1,1,,,34.502537,135.870406,
490,E2920600046111,桜井中学校,奈良県桜井市浅古593,1,,,34.499069,135.861489,
491,E2920600047111,総合福祉センター（旧高齢者総合福祉センター）,奈良県桜井市倉橋1166,1,,,34.491554,135.862745,
492,E2920600050111,横内集会所,奈良県桜井市大福196-4,,,,34.511396,135.831096,
493,E2920600052111,桜井西中学校,奈良県桜井市大福747,1,,,34.51877,135.831427,
494,E2920600053111,桜井市西老人憩いの家,奈良県桜井市大福77-1,1,,,34.51028,135.829043,
495,E2920600054111,大福小学校,奈良県桜井市大福820,1,,,34.518731,135.825656,
496,E2920600056111,桜井小学校,奈良県桜井市谷957,1,,,34.505486,135.845965,
497,E2920600061111,纒向小学校,奈良県桜井市東田339,1,,,34.54648,135.835076,
498,E2920600062111,桜井学園,奈良県桜井市忍阪32-1,,,,34.513268,135.866388,
499,E2920600063111,多武峰地区集会所,奈良県桜井市八井内240,,,,34.467908320349,135.86863565278,
500,E2920600064111,第５保育所,奈良県桜井市豊前267,1,,,34.538523,135.831711,
501,E2920600065111,桜井北ふれあいセンター分館,奈良県桜井市豊田311-2,1,,,34.53784145,135.832589,
502,E2920600067111,桜井北ふれあいセンター,奈良県桜井市豊田314-2,1,,,34.53749235,135.8323101,
503,E2934300001111,三室自治会館,奈良県三郷町三室1-2-18,1,,,34.604414043829,135.70682736027,
504,E2934300002111,城山台自治会館,奈良県三郷町城山台2-1-1,1,,,34.599841420017,135.68887467209,
505,E2934300004111,万葉荘園,奈良県三郷町城山台2-15-1,1,,,34.603118011141,135.6863450356,
506,E2934300005111,県立西和清陵高等学校,奈良県三郷町信貴ケ丘4-7-1,1,,,34.60448588153,135.68662272264,
507,E2934300008111,信貴山東町自治会館,奈良県三郷町信貴山東3-56,1,,,34.606619915852,135.6771974487,
508,E2934300009111,老人福祉施設三室園組合,奈良県三郷町信貴南畑1-1-1,1,,,34.603570684539,135.66700197057,
509,E2934300010111,南畑幼稚園,奈良県三郷町信貴南畑1-2-58,1,,,34.605812489875,135.66842604349,
510,E2934300011111,株式会社農業公園信貴山のどか村　ハウスやまびこ,奈良県三郷町信貴南畑1-7-1,1,,,34.604639911074,135.66212877444,
511,E2934300013111,三郷町福祉保健センター,奈良県三郷町勢野西1-2-1,1,,,34.60081,135.696017,
512,E2934300014111,スポーツセンター,奈良県三郷町勢野西1-2-3,1,,,34.601551468026,135.69699237708,
513,E2934300015111,子育て支援センター・ちぃすてっぷ,奈良県三郷町勢野西1-4-4,1,,,34.601018189688,135.69415186432,
514,E2934300016111,三郷小学校体育館,奈良県三郷町勢野西1-6-1,1,,,34.600821211636,135.69243188841,
515,E2934300018111,里ヶ丘・緑ヶ丘自治会館,奈良県三郷町勢野西5-4-2,1,,,34.60698236241,135.69025665562,
516,E2934300020111,介護付有料老人ホームチャーム奈良三郷,奈良県三郷町勢野東6-8-6,1,,,34.602356,135.707797,
517,E2934300022111,勢野北１・２丁目自治会館,奈良県三郷町勢野北1-9-16,1,,,34.607309518388,135.69764832408,
518,E2934300023111,ハートランドしぎさん看護専門学校体育館,奈良県三郷町勢野北4-13-1,1,,,34.608885022539,135.68348121197,
519,E2934300026111,イーストヒルズ勢野自治会館,奈良県三郷町勢野北5-4-30,1,,,34.609079219185,135.68831488836,
520,E2934300069111,ナラディーア（クラブハウス）,奈良県三郷町勢野北5-5-85,1,,,34.608521,135.686691,
521,E2934300027111,学校給食センター,奈良県三郷町大字勢野5020-1,1,,,34.610597118628,135.6946330752,
522,E2934300027121,学校給食センター,奈良県三郷町大字勢野5020-1,1,,要配慮者等,34.610597118628,135.6946330752,
523,E2934300028111,東信貴ヶ丘自治会館,奈良県三郷町東信貴ケ丘2-2-21,1,,,34.608670460061,135.70440256351,
524,E2934300030111,美松ヶ丘自治会館,奈良県三郷町美松ケ丘西1-9-1,,,,34.609487920743,135.70063443992,
525,E2934300058111,三郷北小学校体育館,奈良県三郷町美松ケ丘西2-11-1,1,,,34.611728122937,135.69712791807,
526,E2934300035111,夕陽ケ丘自治会館,奈良県三郷町夕陽ケ丘11-34,1,,,34.608527,135.708907,
527,E2934300036111,株式会社スイデン奈良事業所,奈良県三郷町夕陽ケ丘3-26,1,,,34.606744072165,135.70882891478,
528,E2934300038111,馬場自治会館,奈良県三郷町立野南1-10-18,1,,,34.593123454675,135.68902430464,
529,E2934300039111,龍田大社参集殿,奈良県三郷町立野南1-29-1,1,,,34.593129357247,135.68745077119,
530,E2934300041111,いわせが丘自治会館,奈良県三郷町立野南2-6-22,1,,,34.590528615922,135.6854671443,
531,E2934300045111,みさと自治会館,奈良県三郷町立野北1-29-116,1,,,34.594071269771,135.69422066553,
532,E2934300047111,三郷中学校体育館,奈良県三郷町立野北1-3-1,1,,,34.598633204913,135.69339641097,
533,E2934300048121,三郷中学校福祉避難所,奈良県三郷町立野北1-3-3,1,,要配慮者等,34.598418207118,135.69337228782,
534,E2934300049111,ふれあい交流センター,奈良県三郷町立野北1-36-39,1,,,34.594623908778,135.69177195535,
535,E2934300050111,西部保育園,奈良県三郷町立野北1-45-5,1,,,34.594459941011,135.68923497085,
536,E2934300052111,立野連合自治会館,奈良県三郷町立野北2-19-7,1,,,34.594673792363,135.68818505521,
537,E2934300054111,立野北２丁目自治会館,奈良県三郷町立野北2-31-62,1,,,34.5951719891,135.683984478,
538,E2934300059111,ＦＳＳ３５スポーツアリーナ,奈良県三郷町立野北3-12-3,1,,,34.593853,135.679063,
539,E2936200004121,三宅町交流まちづくりセンター,奈良県三宅町伴堂689,,,要配慮者,34.573325776758,135.77329663929,
540,E2936200005121,三宅幼児園,奈良県三宅町伴堂703-1,,,要配慮者,34.574480344595,135.77302523491,
541,E2936200006111,三宅小学校,奈良県三宅町伴堂766,1,,,34.574149261661,135.77188700464,
542,E2932200003111,東山公民館,奈良県山添村大字桐山62-1,1,,,34.681887457052,135.97406229281,
543,E2932200007111,豊原公民館,奈良県山添村大字三ケ谷970,1,,,34.654835280517,136.02620122466,
544,E2932200008111,やまぞえ小学校,奈良県山添村大字春日1770-1,1,,,34.680458411883,136.05167607985,
545,E2932200009111,児童館・老人憩の家,奈良県山添村大字西波多4922,1,,,34.68249076193,136.03422425258,
546,E2932200017121,障害者支援施設　大和高原太陽の家,奈良県山添村大字切幡1432-118,,,要配慮者（主として高齢者、障害者、乳幼児その他の特に配慮を要する者）,34.639184,136.018735,
547,E2932200010111,山添中学校,奈良県山添村大字大西1044,1,,,34.683173513727,136.03737270753,
548,E2932200016121,特別養護老人ホーム　つつじの丘,奈良県山添村大字大西1181,,,要配慮者（主として高齢者、障害者、乳幼児その他の特に配慮を要する者）,34.683735,136.041519,
549,E2932200011111,ふれあいホール,奈良県山添村大字大西1367,1,,,34.685735795676,136.04212005494,
550,E2932200012121,保健福祉センター,奈良県山添村大字大西1395-1,,,要配慮者（主として高齢者、障害者、乳幼児その他の特に配慮を要する者）,34.684562813157,136.04035799534,
551,E2932200013111,総合スポーツセンター,奈良県山添村大字大西69,1,,,34.679529167216,136.04508657811,
552,E2932200015111,旧西豊小学校,奈良県山添村大字箕輪680,1,,,34.668213712275,136.01226186671,
553,E2944900021111,高森のいえふれあい交流センター,奈良県十津川村大字猿飼310,,,,33.935163957497,135.76620486017,
