NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
98,E2944300037111,中村コミュニティーセンター,奈良県下市町大字広橋1733,,,,34.332789039416,135.82153613456,
99,E2944300038111,ふる里館,奈良県下市町大字広橋1940,,,,34.331222635207,135.8268460288,
100,E2944300039111,惣坂会館,奈良県下市町大字広橋272,,,,34.341627,135.811738,
101,E2944300040111,広橋会館,奈良県下市町大字広橋589-1,1,,,34.335916915315,135.81243195575,
102,E2944300041111,広瀬谷交流館,奈良県下市町大字広橋977,,,,34.332908057707,135.81577676065,
103,E2944300042111,黒木交流センター,奈良県下市町大字黒木199-1,,,,34.303143660164,135.79719858437,
104,E2944300043111,才谷区自治会集会所,奈良県下市町大字才谷232-1,,,,34.346069,135.848699,
105,E2944300044111,元才谷小学校跡集会所,奈良県下市町大字才谷480-1,,,,34.349524403575,135.84776704904,
106,E2944300045111,小路地区集会所,奈良県下市町大字小路282-1,,,,34.36981201522,135.81298909893,
107,E2944300046111,幸町地区集会所,奈良県下市町大字新住104-1,,,,34.378995486186,135.78555425762,
108,E2944300047111,都町コミュニティ会館,奈良県下市町大字新住1868,,,,34.375585209384,135.78574790492,
109,E2944300048111,ふれあいセンター（新住）,奈良県下市町大字新住253-1,1,,,34.37983487925,135.78168590503,
110,E2944300049111,コミュニティ体育館（西山）,奈良県下市町大字西山118-1,,,,34.300654001453,135.79227224727,
111,E2944300050111,森林公園やすらぎ村,奈良県下市町大字西山550,,,,34.294351121661,135.78959885971,
112,E2944300051111,西山生活改善センター,奈良県下市町大字西山597-1,,,,34.295100394993,135.78549952616,
113,E2944300052111,交流センター（ごんたくんの家）,奈良県下市町大字善城140-1,1,,,34.35981584315,135.79359555814,
114,E2944300053111,下市小学校（名称変更）,奈良県下市町大字善城664-1,1,,,34.354078121403,135.80105170435,
115,E2944300054111,善城地区集会所,奈良県下市町大字善城72-1,,,,34.358595485088,135.79511095859,
116,E2944300055111,旧丹生小学校,奈良県下市町大字谷18,,,,34.3082660616,135.801210829,
117,E2944300056111,丹生コミュニティーセンター,奈良県下市町大字丹生574,,,,34.306928829021,135.80764155419,
118,E2944300057111,山村振興センター（丹生支所）,奈良県下市町大字長谷6,1,,,34.305613098703,135.80269141178,
119,E2944300058111,柿の里ホール,奈良県下市町大字栃原1222-29,1,,,34.35387408,135.785817797,
120,E2944300059111,栃原地区農村集落センター,奈良県下市町大字栃原1222-47,,,,34.3539819991,135.785797,
121,E2944300060111,栃本コミュニティーセンター,奈良県下市町大字栃本354,,,,34.338004199527,135.80535550709,
122,E2944300061111,平原会館,奈良県下市町大字平原477-1,1,,,34.331237792366,135.77709389105,
123,E2944300062111,梨子堂会館,奈良県下市町大字梨子堂317,1,,,34.335164573466,135.79310470851,
124,E2944300063111,立石区民センター,奈良県下市町大字立石260-1,,,,34.35700071284,135.82769723067,
125,E2944300064111,高原地区自治会館（ふるさとの家）,奈良県下市町大字伃邑1260,,,,34.3381046652,135.821924549,
126,E2944300065111,稲貝コミュニティーセンター,奈良県下市町大字伃邑1492,,,,34.343233689461,135.8170035257,
127,E2944300066111,下市温泉秋津荘,奈良県下市町大字伃邑2189,,,,34.352553060905,135.8079533054,
128,E2944300067111,岩森会館,奈良県下市町大字伃邑47-1,1,,,34.354013063204,135.80662829413,
129,E2944300068111,農村コミュニティー体育センター,奈良県下市町大字伃邑619,1,,,34.353804914761,135.80681068433,
130,E2944300069111,草谷会館,奈良県下市町大字伃邑748-4,,,,34.350442969,135.81659539,
131,E2945000001122,高齢者支援ハウスいこいの郷,奈良県下北山村浦向371,,,要配慮者,34.000793389255,135.95623318532,
132,E2945000001121,いこいの郷デイサービスセンター,奈良県下北山村浦向371,,,要配慮者,34.000504315524,135.95666502097,
133,E2945000003111,浦向生活改善センター,奈良県下北山村浦向68,1,,,34.00190841843,135.95504831815,
134,E2945000004111,小井公民館,奈良県下北山村下桑原365,1,,,34.02276862007,135.97573825088,
